,Country,Region,Year,Rank,Score,Economy,Family,Health,Freedom,Generosity,Corruption
141,Botswana,Sub-Saharan Africa,2017,142,3.76600003242493,1.12209415435791,1.22155499458313,0.341755509376526,0.505196332931519,0.0993484482169151,0.0985831990838051
145,Botswana,Sub-Saharan Africa,2018,146,3.59,1.017,1.174,0.417,0.557,0.042,0.092
147,Botswana,Sub-Saharan Africa,2019,148,3.488,1.041,1.145,0.538,0.455,0.025,0.1
15,Brazil,Latin America and Caribbean,2015,16,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521
16,Brazil,Latin America and Caribbean,2016,17,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166
21,Brazil,Latin America and Caribbean,2017,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.16234989464283,0.111092761158943
27,Brazil,Latin America and Caribbean,2018,28,6.419,0.986,1.474,0.675,0.493,0.11,0.088
31,Brazil,Latin America and Caribbean,2019,32,6.3,1.004,1.439,0.802,0.39,0.099,0.086
133,Bulgaria,Central and Eastern Europe,2015,134,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872
128,Bulgaria,Central and Eastern Europe,2016,129,4.217,1.11306,0.92542,0.67806,0.21219,0.12793,0.00615
104,Bulgaria,Central and Eastern Europe,2017,105,4.71400022506714,1.1614590883255,1.43437945842743,0.708217680454254,0.289231717586517,0.113177694380283,0.0110515309497714
99,Bulgaria,Central and Eastern Europe,2018,100,4.933,1.054,1.515,0.712,0.359,0.064,0.009
96,Bulgaria,Central and Eastern Europe,2019,97,5.011,1.092,1.513,0.815,0.311,0.081,0.004
151,Burkina Faso,Sub-Saharan Africa,2015,152,3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832
144,Burkina Faso,Sub-Saharan Africa,2016,145,3.739,0.31995,0.63054,0.21297,0.3337,0.24353,0.12533
133,Burkina Faso,Sub-Saharan Africa,2017,134,4.03200006484985,0.3502277135849,1.04328000545502,0.215844258666039,0.324367851018906,0.250864684581757,0.120328105986118
120,Burkina Faso,Sub-Saharan Africa,2018,121,4.424,0.314,1.097,0.254,0.312,0.175,0.128
114,Burkina Faso,Sub-Saharan Africa,2019,115,4.587,0.331,1.056,0.38,0.255,0.177,0.113
156,Burundi,Sub-Saharan Africa,2015,157,2.905,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062
156,Burundi,Sub-Saharan Africa,2016,157,2.905,0.06831,0.23442,0.15747,0.0432,0.2029,0.09419
153,Burundi,Sub-Saharan Africa,2017,154,2.90499997138977,0.091622568666935,0.629793584346771,0.151610791683197,0.0599007532000542,0.204435184597969,0.0841479450464249
155,Burundi,Sub-Saharan Africa,2018,156,2.905,0.091,0.627,0.145,0.065,0.149,0.076
144,Burundi,Sub-Saharan Africa,2019,145,3.775,0.046,0.447,0.38,0.22,0.176,0.18
144,Cambodia,Southeastern Asia,2015,145,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247
139,Cambodia,Southeastern Asia,2016,140,3.907,0.55604,0.5375,0.42494,0.58852,0.40339,0.08092
128,Cambodia,Southeastern Asia,2017,129,4.16800022125244,0.601765096187592,1.00623834133148,0.429783403873444,0.633375823497772,0.385922968387604,0.0681059509515762
119,Cambodia,Southeastern Asia,2018,120,4.433,0.549,1.088,0.457,0.696,0.256,0.065
108,Cambodia,Southeastern Asia,2019,109,4.7,0.574,1.122,0.637,0.609,0.232,0.062
132,Cameroon,Sub-Saharan Africa,2015,133,4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786
113,Cameroon,Sub-Saharan Africa,2016,114,4.513,0.52497,0.62542,0.12698,0.42736,0.2268,0.06126
106,Cameroon,Sub-Saharan Africa,2017,107,4.69500017166138,0.564305365085602,0.946018218994141,0.132892116904259,0.430388748645782,0.236298456788063,0.0513066314160824
98,Cameroon,Sub-Saharan Africa,2018,99,4.975,0.535,0.891,0.182,0.454,0.183,0.043
95,Cameroon,Sub-Saharan Africa,2019,96,5.044,0.549,0.91,0.331,0.381,0.187,0.037
4,Canada,North America,2015,5,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957
5,Canada,North America,2016,6,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329
6,Canada,North America,2017,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722
6,Canada,North America,2018,7,7.328,1.33,1.532,0.896,0.653,0.321,0.291
8,Canada,North America,2019,9,7.278,1.365,1.505,1.039,0.584,0.285,0.308
147,Central African Republic,Sub-Saharan Africa,2015,148,3.678,0.0785,0.0,0.06699,0.48879,0.23835,0.08289
154,Central African Republic,Sub-Saharan Africa,2017,155,2.69300007820129,0.0,0.0,0.0187726859003305,0.270842045545578,0.280876487493515,0.0565650761127472
154,Central African Republic,Sub-Saharan Africa,2018,155,3.083,0.024,0.0,0.01,0.305,0.218,0.038
154,Central African Republic,Sub-Saharan Africa,2019,155,3.083,0.026,0.0,0.105,0.225,0.235,0.035
148,Chad,Sub-Saharan Africa,2015,149,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269
143,Chad,Sub-Saharan Africa,2016,144,3.763,0.42214,0.63178,0.03824,0.12807,0.18667,0.04952
136,Chad,Sub-Saharan Africa,2017,137,3.93600010871887,0.438012987375259,0.953855872154236,0.0411347150802612,0.16234202682972,0.216113850474358,0.0535818822681904
130,Chad,Sub-Saharan Africa,2018,131,4.301,0.358,0.907,0.053,0.189,0.181,0.06
131,Chad,Sub-Saharan Africa,2019,132,4.35,0.35,0.766,0.192,0.174,0.198,0.078
26,Chile,Latin America and Caribbean,2015,27,6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869
23,Chile,Latin America and Caribbean,2016,24,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451
19,Chile,Latin America and Caribbean,2017,20,6.65199995040894,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.326662421226501,0.0822879821062088
24,Chile,Latin America and Caribbean,2018,25,6.476,1.131,1.331,0.808,0.431,0.197,0.061
25,Chile,Latin America and Caribbean,2019,26,6.444,1.159,1.369,0.92,0.357,0.187,0.056
83,China,Eastern Asia,2015,84,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781
82,China,Eastern Asia,2016,83,5.245,1.0278,0.79381,0.73561,0.44012,0.04959,0.02745
78,China,Eastern Asia,2017,79,5.27299976348877,1.08116579055786,1.16083741188049,0.741415500640869,0.472787708044052,0.0288068410009146,0.0227942746132612
85,China,Eastern Asia,2018,86,5.246,0.989,1.142,0.799,0.597,0.029,0.103
92,China,Eastern Asia,2019,93,5.191,1.029,1.125,0.893,0.521,0.058,0.1
32,Colombia,Latin America and Caribbean,2015,33,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512
30,Colombia,Latin America and Caribbean,2016,31,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399
35,Colombia,Latin America and Caribbean,2017,36,6.35699987411499,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.149014472961426,0.0466687418520451
36,Colombia,Latin America and Caribbean,2018,37,6.26,0.96,1.439,0.635,0.531,0.099,0.039
42,Colombia,Latin America and Caribbean,2019,43,6.125,0.985,1.41,0.841,0.47,0.099,0.034
139,Comoros,Sub-Saharan Africa,2015,140,3.956,0.23906,0.79273,0.36315,0.22917,0.17441,0.199
137,Comoros,Sub-Saharan Africa,2016,138,3.956,0.27509,0.60323,0.29981,0.15412,0.1827,0.18437
141,Comoros,Sub-Saharan Africa,2019,142,3.973,0.274,0.757,0.505,0.142,0.275,0.078
138,Congo (Brazzaville),Sub-Saharan Africa,2015,139,3.989,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686
126,Congo (Brazzaville),Sub-Saharan Africa,2016,127,4.236,0.77109,0.47799,0.28212,0.37938,0.12077,0.09753
123,Congo (Brazzaville),Sub-Saharan Africa,2017,124,4.29099988937378,0.808964252471924,0.832044363021851,0.28995743393898,0.435025870800018,0.120852127671242,0.0796181336045265
113,Congo (Brazzaville),Sub-Saharan Africa,2018,114,4.559,0.682,0.811,0.343,0.514,0.091,0.077
102,Congo (Brazzaville),Sub-Saharan Africa,2019,103,4.812,0.673,0.799,0.508,0.372,0.105,0.093
119,Congo (Kinshasa),Sub-Saharan Africa,2015,120,4.517,0.0,1.0012,0.09806,0.22605,0.24834,0.07625
124,Congo (Kinshasa),Sub-Saharan Africa,2016,125,4.272,0.05661,0.80676,0.188,0.15602,0.25458,0.06075
125,Congo (Kinshasa),Sub-Saharan Africa,2017,126,4.28000020980835,0.0921023488044739,1.22902345657349,0.191407024860382,0.235961347818375,0.246455833315849,0.0602413564920425
131,Congo (Kinshasa),Sub-Saharan Africa,2018,132,4.245,0.069,1.136,0.204,0.312,0.197,0.052
126,Congo (Kinshasa),Sub-Saharan Africa,2019,127,4.418,0.094,1.125,0.357,0.269,0.212,0.053
11,Costa Rica,Latin America and Caribbean,2015,12,7.226,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583
13,Costa Rica,Latin America and Caribbean,2016,14,7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547
11,Costa Rica,Latin America and Caribbean,2017,12,7.0789999961853,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.214613229036331,0.100106589496136
12,Costa Rica,Latin America and Caribbean,2018,13,7.072,1.01,1.459,0.817,0.632,0.143,0.101
11,Costa Rica,Latin America and Caribbean,2019,12,7.167,1.034,1.441,0.963,0.558,0.144,0.093
61,Croatia,Central and Eastern Europe,2015,62,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243
73,Croatia,Central and Eastern Europe,2016,74,5.488,1.18649,0.60809,0.70524,0.23907,0.18434,0.04002
76,Croatia,Central and Eastern Europe,2017,77,5.29300022125244,1.22255623340607,0.96798300743103,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946
81,Croatia,Central and Eastern Europe,2018,82,5.321,1.115,1.161,0.737,0.38,0.12,0.039
74,Croatia,Central and Eastern Europe,2019,75,5.432,1.155,1.266,0.914,0.296,0.119,0.022
66,Cyprus,Western Europe,2015,67,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146
68,Cyprus,Western Europe,2016,69,5.546,1.31857,0.70697,0.8488,0.29507,0.27906,0.05228
64,Cyprus,Western Europe,2017,65,5.62099981307983,1.35593807697296,1.13136327266693,0.84471470117569,0.355111539363861,0.271254301071167,0.0412379764020443
60,Cyprus,Western Europe,2018,61,5.762,1.229,1.191,0.909,0.423,0.202,0.035
48,Cyprus,Western Europe,2019,49,6.046,1.263,1.223,1.042,0.406,0.19,0.041
30,Czech Republic,Central and Eastern Europe,2015,31,6.505,1.17898,1.20643,0.84483,0.46364,0.10686,0.02652
26,Czech Republic,Central and Eastern Europe,2016,27,6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986
22,Czech Republic,Central and Eastern Europe,2017,23,6.60900020599365,1.35268235206604,1.43388521671295,0.754444003105164,0.490946173667908,0.0881067588925362,0.0368729270994663
20,Czech Republic,Central and Eastern Europe,2018,21,6.711,1.233,1.489,0.854,0.543,0.064,0.034
19,Czech Republic,Central and Eastern Europe,2019,20,6.852,1.269,1.487,0.92,0.457,0.046,0.036
2,Denmark,Western Europe,2015,3,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357
0,Denmark,Western Europe,2016,1,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453
1,Denmark,Western Europe,2017,2,7.52199983596802,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864
2,Denmark,Western Europe,2018,3,7.555,1.351,1.59,0.868,0.683,0.284,0.408
1,Denmark,Western Europe,2019,2,7.6,1.383,1.573,0.996,0.592,0.252,0.41
125,Djibouti,Sub-Saharan Africa,2015,126,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105
97,Dominican Republic,Latin America and Caribbean,2015,98,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234
88,Dominican Republic,Latin America and Caribbean,2016,89,5.155,1.02787,0.99496,0.57669,0.52259,0.21286,0.12372
85,Dominican Republic,Latin America and Caribbean,2017,86,5.23000001907349,1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378
82,Dominican Republic,Latin America and Caribbean,2018,83,5.302,0.982,1.441,0.614,0.578,0.12,0.106
76,Dominican Republic,Latin America and Caribbean,2019,77,5.425,1.015,1.401,0.779,0.497,0.113,0.101
47,Ecuador,Latin America and Caribbean,2015,48,5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809
50,Ecuador,Latin America and Caribbean,2016,51,5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037
43,Ecuador,Latin America and Caribbean,2017,44,6.00799989700317,1.00082039833069,1.28616881370544,0.685636222362518,0.4551981985569,0.150112465023994,0.140134647488594
47,Ecuador,Latin America and Caribbean,2018,48,5.973,0.889,1.33,0.736,0.556,0.114,0.12
49,Ecuador,Latin America and Caribbean,2019,50,6.028,0.912,1.312,0.868,0.498,0.126,0.087
134,Egypt,Middle East and Northern Africa,2015,135,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324
119,Egypt,Middle East and Northern Africa,2016,120,4.362,0.95395,0.49813,0.52116,0.18847,0.12706,0.10393
103,Egypt,Middle East and Northern Africa,2017,104,4.7350001335144,0.989701807498932,0.997471392154694,0.520187258720398,0.282110154628754,0.128631442785263,0.114381365478039
121,Egypt,Middle East and Northern Africa,2018,122,4.419,0.885,1.025,0.553,0.312,0.092,0.107
136,Egypt,Middle East and Northern Africa,2019,137,4.166,0.913,1.039,0.644,0.241,0.076,0.067
41,El Salvador,Latin America and Caribbean,2015,42,6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776
45,El Salvador,Latin America and Caribbean,2016,46,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613
44,El Salvador,Latin America and Caribbean,2017,45,6.00299978256226,0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.0782579854130745,0.0899809598922729
39,El Salvador,Latin America and Caribbean,2018,40,6.167,0.806,1.231,0.639,0.461,0.065,0.082
34,El Salvador,Latin America and Caribbean,2019,35,6.253,0.794,1.242,0.789,0.43,0.093,0.074
72,Estonia,Central and Eastern Europe,2015,73,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184
71,Estonia,Central and Eastern Europe,2016,72,5.517,1.27964,1.05163,0.68098,0.41511,0.08423,0.18519
65,Estonia,Central and Eastern Europe,2017,66,5.61100006103516,1.32087934017181,1.47667109966278,0.695168316364288,0.479131430387497,0.0988908112049103,0.183248922228813
62,Estonia,Central and Eastern Europe,2018,63,5.739,1.2,1.532,0.737,0.553,0.086,0.174
54,Estonia,Central and Eastern Europe,2019,55,5.893,1.237,1.528,0.874,0.495,0.103,0.161
121,Ethiopia,Sub-Saharan Africa,2015,122,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048
114,Ethiopia,Sub-Saharan Africa,2016,115,4.508,0.29283,0.37932,0.34578,0.36703,0.29522,0.1717
118,Ethiopia,Sub-Saharan Africa,2017,119,4.46000003814697,0.339233845472336,0.86466920375824,0.353409707546234,0.408842742443085,0.312650740146637,0.165455713868141
126,Ethiopia,Sub-Saharan Africa,2018,127,4.35,0.308,0.95,0.391,0.452,0.22,0.146
133,Ethiopia,Sub-Saharan Africa,2019,134,4.286,0.336,1.033,0.532,0.344,0.209,0.1
5,Finland,Western Europe,2015,6,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372
4,Finland,Western Europe,2016,5,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004
4,Finland,Western Europe,2017,5,7.4689998626709,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014
0,Finland,Western Europe,2018,1,7.632,1.305,1.592,0.874,0.681,0.202,0.393
0,Finland,Western Europe,2019,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393
28,France,Western Europe,2015,29,6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646
31,France,Western Europe,2016,32,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808
30,France,Western Europe,2017,31,6.44199991226196,1.43092346191406,1.38777685165405,0.844465851783752,0.470222115516663,0.129762306809425,0.172502428293228
22,France,Western Europe,2018,23,6.489,1.293,1.466,0.908,0.52,0.098,0.176
23,France,Western Europe,2019,24,6.592,1.324,1.472,1.045,0.436,0.111,0.183
142,Gabon,Sub-Saharan Africa,2015,143,3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091
133,Gabon,Sub-Saharan Africa,2016,134,4.121,1.15851,0.72368,0.3494,0.28098,0.06244,0.09314
117,Gabon,Sub-Saharan Africa,2017,118,4.46500015258789,1.1982102394104,1.1556202173233,0.356578588485718,0.312328577041626,0.0437853783369064,0.0760467872023582
102,Gabon,Sub-Saharan Africa,2018,103,4.758,1.036,1.164,0.404,0.356,0.032,0.052
103,Gabon,Sub-Saharan Africa,2019,104,4.799,1.057,1.183,0.571,0.295,0.043,0.055
119,Gambia,Sub-Saharan Africa,2019,120,4.516,0.308,0.939,0.428,0.382,0.269,0.167
